Id,MovieId,Title,Language,Duration,ReleaseYear
1,3,Elysium,AR,01:49:00,2013
2,3,ELYSIUM,EN,01:49:00,2013
3,3,Elysium,EN,01:49:00,2013
4,3,Elysium,HI,01:49:00,2013
5,3,Elysium,RU,01:49:00,2013
6,3,Элизиум – Рай Не На Земле,RU,01:49:00,2013
7,3,Elysium,JA,01:49:00,2013
8,3,Elysium,JA,01:49:00,2013
9,3,エリジウム,JA,01:49:00,2013
10,4,Django Unchained,EN,02:45:00,2012
11,4,Django Unchained,RU,02:45:00,2012
12,4,Django Unchained,AR,02:45:00,2012
13,5,Total Recall,AR,01:58:00,2012
14,5,توتال ريكول,AR,01:58:00,2012
15,5,Total Recall,HI,01:58:00,2012
16,5,TOTAL RECALL (2012),EN,01:58:00,2012
17,5,TOTAL RECALL (2012),EN,01:58:00,2012
18,5,TOTAL RECALL (2012),EN,01:58:00,2012
19,5,TOTAL RECALL (2012),EN,01:58:00,2012
20,5,TOTAL RECALL (2012),EN,01:58:00,2012
21,5,Total Recall,EN,01:58:00,2012
22,5,Total Recall,EN,01:58:00,2012
23,5,Total Recall,EN,01:58:00,2012
24,5,Total Recall,EN,01:58:00,2012
25,5,Total Recall,EN,01:58:00,2012
26,5,Total Recall,EN,01:58:00,2012
27,5,Total Recall,EN,01:58:00,2012
28,5,Total Recall,EN,01:58:00,2012
29,5,Total Recall,EN,01:58:00,2012
30,5,Total Recall,EN,01:58:00,2012
31,5,Total Recall,EN,01:58:00,2012
32,5,Total Recall,EN,01:58:00,2012
33,5,Total Recall,EN,01:58:00,2012
34,5,Total Recall,EN,01:58:00,2012
35,5,Total Recall,EN,01:58:00,2012
36,5,Total Recall,EN,01:58:00,2012
37,5,Total Recall,EN,01:58:00,2012
38,5,Total Recall,EN,01:58:00,2012
39,5,Total Recall,EN,01:58:00,2012
40,5,Total Recall,EN,01:58:00,2012
41,5,Total Recall,EN,01:58:00,2012
42,5,Total Recall,EN,01:58:00,2012
43,5,Total Recall,EN,01:58:00,2012
44,5,Total Recall,EN,01:58:00,2012
45,5,Total Recall,RU,01:58,2012
46,5,Total Recall,RU,01:58:00,2012
47,5,Total Recall,RU,01:58:00,2012
48,5,Total Recall,RU,01:58:00,2012
49,5,Total Recall,RU,01:58:00,2012
50,5,Вспомнить Всё,RU,01:58:00,2012
51,5,Вспомнить Всё,RU,01:58:00,2012
52,5,Total Recall,JA,01:58:00,2012
53,5,Total Recall,JA,01:58:00,2012
54,5,トータル・リコール,JA,01:58:00,2012
55,6,The Amazing Spider-Man,JA,02:16:00,2012
56,6,The Amazing Spider-Man,JA,02:16:00,2012
57,6,The Amazing Spider-Man,RU,02:16,2012
58,6,The Amazing Spider-Man,RU,02:16:00,2012
59,6,The Amazing Spider-Man,RU,02:16:00,2012
60,6,The Amazing Spider-Man,RU,02:16:00,2012
61,6,The Amazing Spider-Man,RU,02:16:00,2012
62,6,The Amazing Spider-Man,EN,02:21,2012
63,6,"AMAZING SPIDER-MAN, THE",EN,02:16:00,2012
64,6,"AMAZING SPIDER-MAN, THE",EN,02:16:00,2012
65,6,"AMAZING SPIDER-MAN, THE",EN,02:16:00,2012
66,6,"AMAZING SPIDER-MAN, THE",EN,02:16:00,2012
67,6,"AMAZING SPIDER-MAN, THE",EN,02:16:00,2012
68,6,The Amazing Spider-Man,EN,02:16:00,2012
69,6,The Amazing Spider-Man,EN,02:16:00,2012
70,6,The Amazing Spider-Man,EN,02:16:00,2012
71,6,The Amazing Spider-Man,EN,02:16:00,2012
72,6,The Amazing Spider-Man,EN,02:16:00,2012
73,6,The Amazing Spider-Man,EN,02:16:00,2012
74,6,The Amazing Spider-Man,EN,02:16:00,2012
75,6,The Amazing Spider-Man,EN,02:16:00,2012
76,6,The Amazing Spider-Man,EN,02:16:00,2012
77,6,The Amazing Spider-Man,EN,02:16:00,2012
78,6,The Amazing Spider-Man,EN,02:16:00,2012
79,6,The Amazing Spider-Man,EN,02:16:00,2012
80,6,The Amazing Spider-Man,EN,02:16:00,2012
81,6,The Amazing Spider-Man,EN,02:16:00,2012
82,6,The Amazing Spider-Man,EN,02:16:00,2012
83,6,The Amazing Spider-Man,EN,02:16:00,2012
84,6,The Amazing Spider-Man,EN,02:16:00,2012
85,6,The Amazing Spider-Man,EN,02:16:00,2012
86,6,The Amazing Spider-Man,EN,02:16:00,2012
87,6,The Amazing Spider-Man,EN,02:16:00,2012
88,6,The Amazing Spider-Man,EN,02:16:00,2012
89,6,The Amazing Spider-Man,EN,02:16:00,2012
90,6,The Amazing Spider-Man,HI,02:16,2012
91,6,The Amazing Spider-Man,HI,02:16:00,2012
92,6,The Amazing Spider-Man,HI,02:16:00,2012
93,6,The Amazing Spider-Man,AR,02:16,2012
94,6,The Amazing Spider-Man,AR,02:16:00,2012
95,6,The Amazing Spider-Man,AR,02:16:00,2012
96,6,The Amazing Spider-Man,AR,02:16:00,2012
97,6,The Amazing Spider-Man,AR,02:16:00,2012
98,6,The Amazing Spider-Man,AR,02:16:00,2012
99,6,The Amazing Spider-Man,AR,02:16:00,2012
100,7,Moneyball,AR,02:13:00,2011
101,7,Moneyball,AR,02:13:00,2011
102,7,Moneyball,AR,02:13:00,2011
103,7,Moneyball,AR,02:13:00,2011
104,7,Moneyball,AR,02:13:00,2011
105,7,Moneyball,AR,02:13:00,2011
106,7,Moneyball,AR,02:13:00,2011
107,7,Moneyball,AR,02:13:00,2011
108,7,Moneyball,AR,02:13:00,2011
109,7,مونيبول,AR,02:13:00,2011
110,7,MONEYBALL (2011),EN,02:13:00,2011
111,7,MONEYBALL (2011),EN,02:13:00,2011
112,7,MONEYBALL (2011),EN,02:13:00,2011
113,7,MONEYBALL (2011),EN,02:13:00,2011
114,7,MONEYBALL (2011),EN,02:13:00,2011
115,7,Moneyball,EN,02:13:00,2011
116,7,Moneyball,EN,02:13:00,2011
117,7,Moneyball,EN,02:13:00,2011
118,7,Moneyball,EN,02:13:00,2011
119,7,Moneyball,EN,02:13:00,2011
120,7,Moneyball,EN,02:13:00,2011
121,7,Moneyball,EN,02:13:00,2011
122,7,Moneyball,EN,02:13:00,2011
123,7,Moneyball,EN,02:13:00,2011
124,7,Moneyball,EN,02:13:00,2011
125,7,Moneyball,EN,02:13:00,2011
126,7,Moneyball,EN,02:13:00,2011
127,7,Moneyball,EN,02:13:00,2011
128,7,Moneyball,EN,02:13:00,2011
129,7,Moneyball,EN,02:13:00,2011
130,7,Moneyball,EN,02:13:00,2011
131,7,Moneyball,EN,02:13:00,2011
132,7,Moneyball,EN,02:13:00,2011
133,7,Moneyball,EN,02:13:00,2011
134,7,Moneyball,EN,02:13:00,2011
